"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 14, 2020","104.20","107.43","108.07","104.09","8.27M","-2.01%"
"Dec 11, 2020","106.34","107.01","107.42","105.58","5.21M","-1.07%"
"Dec 10, 2020","107.49","109.06","109.07","106.67","6.29M","-1.09%"
"Dec 09, 2020","108.67","107.90","109.15","107.63","7.35M","0.91%"
"Dec 08, 2020","107.69","105.70","108.35","105.60","6.69M","1.75%"
"Dec 07, 2020","105.84","107.04","107.21","104.96","6.53M","-1.34%"
"Dec 04, 2020","107.28","105.02","107.31","105.02","7.24M","2.43%"
"Dec 03, 2020","104.74","105.00","105.70","104.30","4.69M","-0.24%"
"Dec 02, 2020","104.99","104.00","105.38","103.32","5.49M","0.91%"
"Dec 01, 2020","104.04","105.05","106.38","104.04","7.63M","-0.52%"
"Nov 30, 2020","104.58","105.12","105.42","103.65","20.73M","-0.30%"
"Nov 27, 2020","104.89","104.98","105.80","104.30","4.42M","0.66%"
"Nov 25, 2020","104.20","103.82","104.46","103.39","6.37M","0.23%"
"Nov 24, 2020","103.96","102.88","104.82","102.58","9.33M","1.74%"
"Nov 23, 2020","102.18","101.94","102.76","101.06","7.55M","1.33%"
"Nov 20, 2020","100.84","99.95","101.83","98.62","9.68M","1.17%"
"Nov 19, 2020","99.67","98.76","100.15","98.59","7.55M","0.96%"
"Nov 18, 2020","98.72","100.00","100.29","98.68","8.88M","-0.49%"
"Nov 17, 2020","99.21","99.37","100.26","98.74","11.59M","0.86%"
"Nov 16, 2020","98.36","99.96","100.54","98.33","8.61M","-0.69%"
"Nov 13, 2020","99.04","97.41","99.55","97.40","6.89M","1.48%"
"Nov 12, 2020","97.60","97.50","97.75","96.28","7.65M","-0.56%"
"Nov 11, 2020","98.15","99.15","99.87","97.77","9.48M","-0.73%"
"Nov 10, 2020","98.87","96.01","99.13","95.62","12.27M","3.94%"
"Nov 09, 2020","95.12","95.74","96.95","94.67","11.03M","2.44%"
"Nov 06, 2020","92.85","92.97","93.65","91.71","7.01M","-0.90%"
"Nov 05, 2020","93.69","95.36","95.52","93.00","8.01M","-0.86%"
"Nov 04, 2020","94.50","93.14","97.49","92.67","25.85M","7.44%"
"Nov 03, 2020","87.96","89.14","89.39","87.43","8.52M","-0.33%"
"Nov 02, 2020","88.25","86.03","88.54","86.00","10.78M","3.70%"
"Oct 30, 2020","85.10","83.19","86.14","83.00","18.10M","5.49%"
"Oct 29, 2020","80.67","80.50","81.37","79.11","8.88M","0.22%"
"Oct 28, 2020","80.49","81.35","82.21","80.23","11.48M","-2.68%"
"Oct 27, 2020","82.71","84.00","84.26","82.68","6.71M","-1.44%"
"Oct 26, 2020","83.92","84.09","84.32","82.81","7.99M","-0.50%"
"Oct 23, 2020","84.34","84.64","85.15","83.94","4.24M","0.04%"
"Oct 22, 2020","84.31","83.02","84.89","82.92","8.08M","1.71%"
"Oct 21, 2020","82.89","83.58","84.14","82.56","9.78M","-1.61%"
"Oct 20, 2020","84.25","84.19","84.83","83.42","6.93M","-0.07%"
"Oct 19, 2020","84.31","86.59","86.79","84.13","10.29M","-2.27%"
"Oct 16, 2020","86.27","85.89","87.15","85.76","5.36M","1.22%"
"Oct 15, 2020","85.23","85.41","85.74","84.96","6.19M","-0.98%"
"Oct 14, 2020","86.07","86.83","87.11","85.90","5.86M","-2.00%"
"Oct 13, 2020","87.83","88.01","88.80","87.47","7.85M","-0.55%"
"Oct 12, 2020","88.32","88.17","88.60","87.32","7.31M","0.71%"
"Oct 09, 2020","87.70","87.41","88.70","87.35","6.01M","0.41%"
"Oct 08, 2020","87.34","87.27","88.58","86.92","5.54M","0.31%"
"Oct 07, 2020","87.07","86.16","87.30","86.03","5.90M","1.37%"
"Oct 06, 2020","85.89","87.97","88.06","85.71","8.74M","-2.32%"
"Oct 05, 2020","87.93","86.49","88.18","86.21","5.98M","2.10%"
"Oct 02, 2020","86.12","86.50","87.35","86.05","5.55M","-1.17%"
"Oct 01, 2020","87.14","88.17","88.17","86.73","8.78M","-0.51%"
"Sep 30, 2020","87.59","87.00","88.44","86.81","8.21M","0.81%"
"Sep 29, 2020","86.89","87.11","87.28","86.31","5.51M","-0.45%"
"Sep 28, 2020","87.28","87.29","88.20","86.87","6.31M","1.22%"
"Sep 25, 2020","86.23","86.00","86.86","85.46","9.94M","0.37%"
"Sep 24, 2020","85.91","87.00","87.00","85.32","9.98M","-1.41%"
"Sep 23, 2020","87.14","89.00","89.27","87.12","6.25M","-1.65%"
"Sep 22, 2020","88.60","88.90","88.95","87.93","5.31M","-0.55%"
"Sep 21, 2020","89.09","89.14","89.43","87.17","7.33M","-1.13%"
"Sep 18, 2020","90.11","89.49","90.50","88.86","10.08M","0.54%"
"Sep 17, 2020","89.63","89.30","90.81","89.17","5.60M","-0.17%"
"Sep 16, 2020","89.78","91.02","91.27","89.69","6.31M","-1.24%"
"Sep 15, 2020","90.91","91.40","91.98","90.64","3.85M","0.46%"
"Sep 14, 2020","90.49","90.05","91.26","89.46","5.21M","0.88%"
"Sep 11, 2020","89.70","89.81","90.34","89.04","8.39M","0.06%"
"Sep 10, 2020","89.65","91.07","91.41","89.48","10.40M","-2.16%"
"Sep 09, 2020","91.63","90.86","92.43","90.51","5.37M","1.56%"
"Sep 08, 2020","90.22","91.52","91.86","89.45","8.56M","-1.80%"
"Sep 04, 2020","91.87","92.08","93.13","90.58","9.44M","0.00%"
"Sep 03, 2020","91.87","93.88","94.31","91.09","8.92M","-2.21%"
"Sep 02, 2020","93.95","92.07","94.24","91.90","9.14M","1.85%"
"Sep 01, 2020","92.24","95.52","95.92","91.29","15.82M","-3.69%"
"Aug 31, 2020","95.77","94.12","96.01","94.01","9.93M","1.70%"
"Aug 28, 2020","94.17","94.52","94.65","93.53","4.94M","-0.14%"
"Aug 27, 2020","94.30","94.33","95.06","93.67","5.27M","-0.05%"
"Aug 26, 2020","94.35","93.50","94.41","92.94","5.68M","0.31%"
"Aug 25, 2020","94.06","94.21","94.79","93.91","6.71M","-0.48%"
"Aug 24, 2020","94.51","94.90","95.23","94.18","4.10M","-0.37%"
"Aug 21, 2020","94.86","95.20","95.32","94.32","5.27M","-0.36%"
"Aug 20, 2020","95.20","95.49","96.03","94.68","6.80M","-0.94%"
"Aug 19, 2020","96.10","97.11","97.42","95.85","7.67M","0.47%"
"Aug 18, 2020","95.65","96.62","96.70","95.15","4.56M","-0.73%"
"Aug 17, 2020","96.35","95.29","97.26","95.26","7.25M","1.35%"
"Aug 14, 2020","95.07","95.38","95.67","94.54","5.49M","0.41%"
